frame_id,class_id,track_id,coordinate_world_x,coordinate_world_y
16,car-transporter,14,678174.1696037061,5405330.879130155
17,car,1,678194.4672006874,5405316.78696655
17,car,2,678161.9488621831,5405327.629032277
17,car,3,678148.0238508224,5405287.648738045
17,car,4,678148.7355633338,5405284.218244007
17,car,5,678192.248768887,5405320.096043369
17,car,6,678160.6454071277,5405336.339684155
17,car,7,678158.6455238534,5405326.21449196
17,car,8,678165.1857878594,5405347.826799115
17,cyclist,9,678148.1265829699,5405309.241426345
17,car,10,678161.8907610152,5405346.277316157
17,car,11,678199.244893831,5405318.922417083
17,truck,12,678192.133712485,5405325.361115197
17,car,13,678198.0717148115,5405322.138571218
17,car-transporter,14,678174.1696037061,5405330.879130155
18,car,1,678194.4712266974,5405316.762794705
18,car,2,678161.9488621831,5405327.629032277
18,car,3,678148.0238508224,5405287.648738045
18,car,4,678148.7355633338,5405284.218244007
18,car,5,678192.248768887,5405320.096043369
18,car,6,678160.6454071277,5405336.339684155
18,car,7,678158.6546702785,5405326.199224489
18,car,8,678165.038221756,5405348.081921456
18,cyclist,9,678148.1677786689,5405309.250964603
18,car,10,678161.8595775027,5405346.222615797
18,car,11,678199.4181148234,5405318.855161231
18,truck,12,678191.6422322494,5405327.087311808
18,car,13,678198.0717148115,5405322.138571218
18,car-transporter,14,678174.079135567,5405331.077978132
19,car,1,678194.4672006874,5405316.78696655
19,car,2,678161.9488621831,5405327.629032277
19,car,3,678148.0238508224,5405287.648738045
19,car,4,678148.7355633338,5405284.218244007
19,car,5,678192.248768887,5405320.096043369
19,car,6,678160.6454071277,5405336.339684155
19,car,7,678158.6546702785,5405326.199224489
19,car,8,678164.8795319067,5405348.417781705
19,cyclist,9,678148.2076008092,5405309.279693309
19,car,10,678161.8907610152,5405346.277316157
19,car,11,678199.244893831,5405318.922417083
19,truck,12,678191.6222310001,5405327.136280015
19,car,13,678198.0717148115,5405322.138571218
19,car-transporter,14,678173.6117324006,5405330.612352425
19,car,15,678154.73100617,5405332.3920866605
20,car,1,678194.4672006874,5405316.78696655
20,car,2,678161.9488621831,5405327.629032277
20,car,3,678148.0238508224,5405287.648738045
20,car,4,678148.7355633338,5405284.218244007
20,car,5,678192.2930493355,5405320.107117073
20,car,6,678160.6454071277,5405336.339684155
20,car,7,678158.6647960392,5405326.177537175
20,car,8,678164.853118544,5405348.717061635
20,cyclist,9,678148.2476028975,5405309.33678212
20,car,10,678161.8907610152,5405346.277316157
20,car,11,678199.244893831,5405318.922417083
20,truck,12,678192.034038573,5405325.276156936
20,car,13,678198.0619757891,5405322.162380731
20,car-transporter,14,678173.7339156473,5405330.955204811
20,car,15,678154.6938248267,5405332.15143698
21,car,1,678194.4672006874,5405316.78696655
21,car,2,678161.9488621831,5405327.629032277
21,car,3,678148.0238508224,5405287.648738045
21,car,4,678148.7455623718,5405284.22006234
21,car,5,678192.2930493355,5405320.107117073
21,car,6,678160.6454071277,5405336.339684155
21,car,7,678158.6546702785,5405326.199224489
21,car,8,678164.815300171,5405349.04133424
21,cyclist,9,678148.2830344697,5405309.33361658
21,car,10,678161.9220158097,5405346.332141555
21,car,11,678199.244893831,5405318.922417083
21,truck,12,678192.133712485,5405325.361115197
21,car,13,678198.0619757891,5405322.162380731
21,car-transporter,14,678173.7339156473,5405330.955204811
21,car,15,678154.6568598219,5405332.162024556
22,car,1,678194.4672006874,5405316.78696655
22,car,2,678161.9488621831,5405327.629032277
22,car,3,678148.0238508224,5405287.648738045
22,car,4,678148.7355633338,5405284.218244007
22,car,5,678192.2930493355,5405320.107117073
22,car,6,678160.6304126059,5405336.272685359
22,car,7,678158.6647960392,5405326.177537175
22,car,8,678164.8760665776,5405349.402969017
22,cyclist,9,678148.358676793,5405309.38768898
22,car,10,678161.9496847332,5405346.380676821
22,car,11,678199.244893831,5405318.922417083
22,truck,12,678192.133712485,5405325.361115197
22,car,13,678198.0619757891,5405322.162380731
22,car-transporter,14,678173.7362811312,5405331.326489233
22,car,15,678154.5843519219,5405331.9694345575
23,car,1,678194.4672006874,5405316.78696655
23,car,2,678161.9488621831,5405327.629032277
23,car,3,678148.0238508224,5405287.648738045
23,car,4,678148.7355633338,5405284.218244007
23,car,5,678192.2930493355,5405320.107117073
23,car,6,678160.648292605,5405336.325512685
23,car,7,678158.6546702785,5405326.199224489
23,car,8,678164.8611395727,5405349.681011302
